Area_sqft,Bedrooms,Bathrooms,Floors,Age,Garage,Balcony,Furnished,Garden,SwimmingPool,DistanceToCity,NearbySchools,NearbyHospitals,CrimeRate,PopulationDensity,PublicTransportScore,PropertyTax,LocationRating,ElectricityBackup,SecurityRating,Price
7877,4,4,1,59,0,1,0,1,0,24.6,1,4,5.9,37506,8,2.91,7,0,8,33344690
5287,3,3,2,58,1,1,0,1,0,30.0,6,6,2.0,19669,5,2.35,8,1,5,24631628
7401,6,5,3,49,0,0,1,0,1,32.9,2,3,6.9,14879,4,3.75,4,1,6,30545149
7324,1,2,4,18,1,1,1,1,1,43.2,3,5,6.0,4337,8,4.27,2,0,1,25587327
1481,1,5,3,21,0,1,1,0,0,49.4,0,7,1.7,78724,5,2.05,4,0,10,6560976
4632,1,5,2,32,0,0,1,1,0,10.4,2,1,3.4,36646,6,2.86,3,0,2,19442126
1265,4,3,3,43,1,1,1,1,0,27.9,9,1,1.5,27630,5,2.42,10,0,8,14961863
6568,4,3,1,19,1,1,0,0,0,26.4,10,3,6.7,7633,7,3.06,6,0,6,28271272
4470,1,5,4,51,0,1,1,1,1,27.3,1,2,1.0,67671,1,1.05,2,0,8,19178194
758,6,5,1,53,1,0,1,0,0,24.6,0,1,4.0,9720,5,4.45,6,0,9,8212944
2922,2,4,1,58,1,0,1,1,0,34.4,7,5,7.3,4932,7,0.74,7,0,10,15336458
6191,5,3,4,36,1,0,1,0,1,7.5,10,5,7.1,71577,10,2.44,2,0,9,28149467
2264,4,4,3,51,1,0,1,1,1,29.2,9,7,1.3,34146,9,3.16,8,0,2,18349548
5053,6,2,3,30,1,0,0,1,1,4.8,10,1,3.6,45327,3,2.65,10,0,8,31568380
1149,4,5,4,33,1,1,0,1,1,33.3,7,2,6.8,38508,8,3.37,5,1,4,9580105
868,1,4,4,4,1,1,1,1,1,16.8,7,7,8.5,11559,3,2.9,5,0,3,8576790
7694,5,5,4,7,0,0,0,1,0,25.4,9,7,6.6,58911,6,2.9,6,1,4,33698145
5129,2,4,3,26,1,1,0,0,1,25.9,4,4,8.7,48726,2,3.27,10,0,8,26566171
7939,3,3,4,42,0,1,1,0,0,29.8,2,4,5.0,6913,5,2.5,1,1,8,27931416
544,5,1,3,5,1,0,0,0,0,3.6,7,0,6.4,40903,2,4.06,6,1,10,9162066
4481,4,4,1,50,0,1,0,1,1,43.1,2,0,7.6,48076,9,2.58,7,1,3,19308997
2947,4,4,1,1,1,1,0,0,0,44.6,10,4,4.2,53669,9,2.73,4,1,2,12282680
1036,3,4,2,0,1,1,1,1,0,2.4,7,6,1.1,9907,1,1.85,10,0,5,16506841
585,4,4,2,51,1,1,0,0,1,20.9,6,6,3.3,4065,10,3.43,3,1,7,7997340
7316,4,5,3,14,1,1,1,1,1,13.0,2,8,6.9,16166,6,3.9,7,0,8,36650751
4722,4,3,4,30,0,1,0,0,0,3.4,9,6,3.3,53813,10,1.59,3,1,3,22530257
3068,5,1,3,51,0,0,0,1,0,44.5,4,4,9.7,13850,3,4.36,7,1,1,11585638
916,3,5,3,22,0,1,0,0,1,44.6,8,8,4.0,63989,4,0.89,10,1,6,10670114
3540,2,2,2,59,1,1,1,1,0,39.7,3,5,2.3,34788,4,1.34,9,0,8,18582468
967,1,3,3,40,1,1,0,0,1,10.6,0,7,4.5,67839,6,3.73,10,1,1,12627680
3986,5,3,4,53,1,0,1,0,1,9.0,1,8,10.0,74051,3,2.56,9,0,8,24367766
5131,1,1,1,60,0,1,1,0,0,43.4,1,8,6.5,8135,3,3.97,10,0,4,20433219
6695,1,2,1,41,0,1,0,1,1,28.3,9,6,9.2,37857,4,3.41,10,1,8,30123389
1895,6,1,2,20,1,1,1,0,0,41.8,4,1,4.5,76261,9,0.75,3,0,10,9598341
4706,1,2,2,42,0,1,1,1,1,46.6,2,3,5.2,8264,6,2.95,9,1,10,23076859
7708,5,4,3,0,0,1,0,1,1,34.7,0,3,9.3,67873,9,3.68,9,1,5,34804757
1331,3,4,2,35,0,1,1,0,0,5.1,5,5,5.2,70910,5,1.37,3,0,6,10073771
6371,6,1,2,40,0,1,0,0,0,4.8,5,0,6.6,25416,9,4.38,1,1,9,25640763
2337,1,3,4,12,0,0,0,0,0,25.8,2,0,2.3,21533,9,3.09,8,0,5,14242676
3569,2,3,3,16,0,0,0,0,1,24.7,1,2,4.7,41321,5,1.43,1,1,8,13464371
4612,3,5,2,20,0,1,0,1,1,30.8,3,7,4.5,22266,5,4.15,8,1,7,24577376
4525,2,4,1,38,1,0,1,0,0,20.4,6,2,5.5,62500,2,1.36,10,1,6,24432207
7517,4,4,3,46,0,1,0,1,0,5.2,1,5,7.6,36018,9,3.36,4,1,2,31955917
3010,4,4,1,14,0,0,0,0,0,43.2,2,6,6.7,26361,1,3.71,6,1,5,12741539
1446,4,3,1,51,1,1,1,0,1,17.4,3,6,3.5,54845,1,3.03,2,1,10,9043261
3906,5,1,3,2,0,1,0,0,1,34.3,5,7,8.3,27680,6,1.79,8,1,2,19923242
7531,5,2,1,2,0,0,1,0,1,41.2,9,3,5.5,22727,9,3.78,6,0,3,32053398
4416,2,5,4,39,1,1,1,0,1,22.7,5,5,6.3,18515,9,3.34,6,1,5,23016611
1748,5,1,2,36,0,1,1,0,1,17.9,10,0,8.5,71875,10,2.47,8,0,4,13334624
2253,5,4,1,29,1,1,0,0,1,22.0,5,7,2.9,79551,1,2.1,5,1,5,13937441
964,6,5,2,35,1,1,0,0,1,26.9,4,5,10.0,1561,8,2.84,8,0,9,11577088
3103,3,3,1,6,1,0,0,0,0,38.0,4,5,2.1,36578,5,4.02,8,1,3,16578588
7369,6,1,3,4,0,0,0,0,0,7.0,2,8,8.0,16666,7,4.13,7,1,4,33823384
3599,4,2,2,25,1,1,0,1,1,33.1,4,4,5.8,6401,7,0.78,4,1,3,16014273
5546,3,2,3,15,1,1,1,1,1,34.8,3,6,1.4,10136,9,3.13,1,1,9,24703727
4742,6,4,1,3,0,0,1,0,1,16.7,0,2,9.2,5783,5,2.51,9,1,4,25369407
5336,2,4,4,34,1,1,1,0,1,29.7,10,3,4.4,71600,9,3.31,8,1,1,27477973
3429,5,2,3,0,1,1,0,1,0,17.5,9,6,2.8,46311,10,1.9,1,1,9,17496029
5668,4,5,4,32,1,1,0,1,1,14.9,9,0,6.6,54209,3,0.78,1,1,5,23995082
1033,3,3,4,46,0,1,0,0,0,44.9,8,3,7.9,57566,7,2.35,10,0,10,9305661
3134,1,2,3,39,0,0,0,0,0,19.2,0,7,2.5,10270,9,2.57,5,0,5,14424857
1422,2,4,4,30,1,0,0,0,0,47.1,5,1,7.9,43138,7,1.61,2,1,10,4663566
1980,4,2,4,7,1,1,0,0,0,14.7,6,6,5.8,40870,9,0.8,7,1,8,15555050
5095,4,1,3,24,0,1,0,0,0,5.0,2,3,2.5,28257,3,3.43,8,1,7,26678578
7770,6,2,2,59,1,1,0,0,1,43.3,2,2,7.0,12198,2,0.93,2,1,3,25350066
2754,6,3,2,50,1,1,0,1,0,1.5,9,7,2.0,6481,5,2.63,8,0,2,19751990
5084,1,4,4,38,1,0,1,1,1,36.3,4,1,6.4,53580,7,0.64,7,0,8,23099011
5872,1,4,2,6,0,0,1,1,0,39.6,9,6,7.3,61535,10,1.88,4,0,4,23049811
5902,5,2,4,51,1,0,0,0,1,15.0,9,3,9.3,23778,2,2.97,10,1,8,29730227
5751,4,2,2,25,1,1,0,0,0,17.0,6,0,8.6,9345,8,2.07,7,1,2,25993525
1704,6,5,4,47,1,0,1,1,1,12.1,1,3,5.4,40126,4,3.64,10,0,1,18548391
6058,2,5,2,3,0,1,1,1,0,26.0,8,8,2.9,64234,1,3.58,8,0,5,29056502
7701,1,1,4,29,0,1,1,1,0,6.7,7,5,3.1,6465,3,0.57,10,1,6,38275817
1533,6,2,3,53,0,1,0,0,1,21.6,9,4,7.2,15688,6,0.7,4,0,5,10035461
766,3,4,4,52,0,0,0,1,0,17.2,4,5,3.6,69361,5,4.03,6,1,4,9039923
1303,1,5,4,44,1,1,1,0,1,45.1,2,5,1.7,62832,10,1.51,3,0,10,8204813
4995,6,4,2,30,0,1,1,1,1,26.0,0,3,2.9,66889,4,2.04,1,1,3,21523860
5673,3,4,2,50,1,0,0,1,1,40.0,7,7,4.8,37522,5,1.48,7,1,9,26987451
7160,6,5,3,33,1,0,1,0,1,15.7,10,4,6.5,52076,2,4.47,8,0,7,35610042
739,1,4,4,21,1,0,0,0,1,15.3,6,6,9.9,4094,5,1.61,1,1,3,4521909
1876,6,1,3,29,1,1,0,0,1,11.9,5,2,5.7,48002,5,2.84,3,0,5,12091983
1514,6,5,3,4,1,0,1,0,1,1.7,1,1,8.8,59536,4,3.49,8,0,7,17153977
7765,6,2,1,0,0,1,0,1,0,40.3,1,2,4.2,49071,3,0.55,6,1,7,31448978
2814,2,2,1,10,1,0,0,0,0,43.5,2,7,7.6,29997,6,3.25,9,1,4,13906046
2098,2,3,1,16,1,1,0,0,0,40.8,1,5,5.1,58809,7,0.88,10,1,3,13615260
636,1,1,2,12,1,0,1,0,1,48.5,6,3,9.0,45152,3,3.63,3,1,6,2674574
1161,5,4,1,47,0,0,0,0,0,41.2,2,4,4.2,9608,2,2.74,7,1,7,7635626
7897,2,4,4,29,1,0,1,1,1,5.9,0,8,8.7,44003,9,3.55,3,1,5,35005458
4883,4,2,1,28,0,1,1,1,0,45.0,4,0,6.9,61177,6,2.56,4,0,8,17230061
6855,5,3,2,35,0,1,1,1,1,13.5,9,5,3.4,34112,2,3.5,4,0,10,31349856
4061,2,4,4,46,1,1,1,0,1,28.4,9,2,4.1,51393,4,0.63,8,0,3,20804027
2292,2,3,2,20,0,0,0,1,1,11.6,9,2,9.8,37559,3,2.1,2,1,4,9871875
5359,6,2,4,35,0,1,1,1,1,13.8,5,5,6.1,28388,7,3.09,8,1,3,29959829
7952,3,1,1,37,0,1,0,1,0,21.8,1,1,8.8,40455,1,3.89,6,1,4,30301607
4512,3,3,4,22,1,0,0,0,1,43.8,3,2,5.4,56719,1,4.14,2,1,10,16849322
4432,1,3,3,12,1,1,1,0,1,11.5,3,0,6.1,38805,1,2.45,1,0,5,18357490
4208,6,3,3,44,0,1,0,1,0,4.4,7,0,2.0,35482,3,3.63,6,0,2,23555547
6151,6,3,1,2,1,1,1,0,1,2.7,3,5,5.9,7848,4,1.8,2,1,2,27708125
2838,5,3,4,58,1,0,1,1,0,10.1,9,1,4.2,16714,5,2.04,3,0,8,16681985
4736,1,3,2,57,0,0,1,0,0,48.7,0,7,3.2,64912,5,2.03,7,0,3,18411759
2023,5,5,4,6,0,0,1,0,1,34.8,7,3,1.8,18621,2,1.46,3,1,6,12088352
2333,3,2,4,46,1,0,0,0,0,17.4,10,6,6.4,11394,9,1.24,7,1,6,14760910
6785,3,3,2,17,1,0,0,0,1,39.0,3,2,5.2,44788,4,2.09,6,0,5,27614705
7225,4,2,4,16,0,1,1,1,1,45.3,2,2,7.6,41688,7,2.95,2,0,7,26008624
7526,5,4,3,16,0,0,1,0,1,17.4,8,3,3.0,35828,1,2.93,1,1,8,31599887
5102,4,3,4,9,1,0,1,1,1,12.5,4,0,9.5,29409,4,1.5,2,1,7,23605204
2487,5,1,1,36,1,1,0,0,1,31.9,2,1,9.3,15672,8,3.41,8,1,3,12933788
1774,5,3,2,46,0,0,0,0,1,19.4,6,4,9.1,22983,6,0.94,3,1,5,9122139
1534,4,2,3,1,1,0,0,0,0,12.9,10,0,2.5,41804,9,1.18,10,1,7,16982894
1677,5,3,4,51,0,1,0,0,1,22.5,10,3,4.8,35319,3,4.25,7,1,5,13409257
5505,1,5,2,33,0,0,1,1,0,10.1,2,6,1.7,46018,2,2.63,4,0,8,25739201
840,3,3,3,33,0,0,0,1,0,31.6,6,8,4.8,19682,2,0.9,4,1,2,4441620
7822,5,3,4,55,1,1,0,0,1,8.0,0,6,4.4,10469,6,1.0,2,0,8,32282680
1103,2,2,2,18,1,1,0,0,0,32.9,1,4,7.3,24551,6,2.94,3,0,8,3620294
3827,2,2,3,50,0,0,1,0,0,8.1,0,8,5.8,79893,2,4.5,4,1,5,16463356
3239,3,2,3,4,0,0,0,0,1,45.1,8,2,5.1,49720,10,4.34,3,1,9,14656394
5086,2,3,1,11,0,1,0,0,0,28.5,9,1,1.8,4614,9,2.02,3,0,3,19617218
703,2,2,3,37,1,0,0,1,0,15.8,0,3,6.0,78062,1,4.15,3,0,7,3272863
6965,2,4,3,25,1,1,1,1,1,41.9,0,1,1.4,38022,8,2.93,6,0,6,30803942
4216,6,2,2,4,1,1,0,1,0,42.0,8,2,1.9,76974,6,1.56,6,1,3,21107012
6141,2,2,1,18,1,1,1,1,1,47.1,8,8,6.9,64175,1,1.33,1,0,2,19479873
2035,6,5,3,2,0,0,0,1,0,2.6,8,0,8.5,41295,7,1.62,6,1,2,16424662
1380,3,2,1,10,1,0,0,0,0,43.1,7,7,1.1,49371,9,2.37,9,0,8,11986927
2958,6,5,1,11,0,0,1,0,1,33.0,9,3,5.0,41764,9,1.93,10,1,3,21029378
2541,4,5,3,53,1,0,0,0,1,21.8,4,2,4.5,66120,5,1.3,9,1,2,16992351
6131,3,4,4,50,0,0,1,0,1,17.9,0,7,5.0,77294,6,1.94,3,0,7,25351878
5872,5,5,1,19,1,1,0,1,0,48.6,7,2,7.9,70717,3,3.64,8,1,10,26377751
3475,6,3,1,27,1,1,0,1,1,32.9,0,6,9.3,16914,3,3.36,1,1,1,12292584
1842,1,5,2,1,0,0,1,0,0,41.3,7,1,7.8,35438,10,4.44,9,0,5,11238133
3507,2,5,4,25,1,1,1,1,0,49.9,2,1,6.8,67145,5,3.88,5,0,2,12185921
922,5,4,4,51,0,1,1,1,1,48.9,2,4,5.3,66395,8,3.47,1,1,2,2713347
1908,3,3,1,38,1,0,0,0,1,37.8,5,8,1.3,31446,6,4.14,8,0,2,13569701
3062,5,5,2,3,0,0,1,0,1,30.3,2,5,8.6,28007,10,3.91,3,1,5,15355021
4549,1,5,2,18,0,1,0,0,0,8.9,8,5,2.8,43913,6,1.62,4,0,10,21462436
7342,1,4,4,33,1,1,0,1,1,5.9,7,8,3.2,79139,5,1.39,6,0,5,35291614
6849,6,1,1,5,1,1,0,0,0,42.1,5,0,5.3,41568,10,4.1,7,1,6,29533585
4766,5,1,2,8,0,0,1,0,0,32.4,6,5,4.5,16072,9,4.49,6,0,10,22937997
7138,3,4,3,13,0,1,0,0,1,0.8,0,4,1.8,79884,6,4.34,9,0,10,37474959
1254,2,1,3,16,1,1,0,1,1,46.7,0,0,3.6,49476,4,1.13,2,0,10,4045196
2692,1,4,3,19,1,0,0,0,0,39.7,10,4,6.7,65594,8,1.18,6,1,9,12356150
5756,5,4,2,34,1,1,0,1,0,38.1,7,1,8.8,25423,4,4.42,1,1,6,19476736
4624,2,4,1,34,1,1,1,0,0,48.7,5,3,6.9,25221,2,3.19,8,1,7,20148614
6493,5,2,2,13,1,1,1,1,0,48.5,9,5,5.1,57839,3,3.37,6,0,8,27426956
2941,4,3,2,59,0,0,0,1,1,36.3,2,6,7.0,65464,5,3.08,6,1,1,14092607
2177,4,4,2,1,0,0,0,0,1,12.6,5,5,8.4,48187,6,0.63,7,1,3,16089772
2304,3,4,1,26,0,1,1,1,1,15.0,5,4,6.7,33145,3,1.21,3,0,8,13327703
6427,2,4,2,54,1,1,1,1,0,35.0,5,2,6.0,56594,9,2.75,3,1,2,23824398
7467,1,2,2,36,1,0,1,0,1,19.8,6,5,9.4,58001,9,1.47,1,1,4,28103306
2884,1,5,4,9,0,1,0,0,1,46.1,1,2,7.0,53880,8,3.41,2,0,6,8969429
3602,1,2,4,12,1,1,1,0,1,26.0,6,2,2.9,1029,3,0.82,6,0,8,20008989
6876,5,4,2,36,1,1,1,1,1,14.3,3,5,4.5,69386,9,3.52,2,0,1,28916465
6157,3,1,2,16,1,1,0,1,0,26.5,4,2,8.8,47275,8,3.32,4,0,7,24601403
2843,3,4,3,24,0,1,0,1,1,33.5,5,8,4.0,43089,10,2.12,3,0,9,15127588
2703,5,5,4,56,0,0,0,0,0,19.9,8,3,3.5,48917,10,2.8,7,0,9,17759658
4185,5,3,4,3,1,1,1,0,1,36.5,4,0,6.5,48742,2,3.61,9,0,5,23254542
1325,6,3,4,45,0,1,1,1,0,23.5,8,0,8.9,64881,6,1.87,6,0,4,9819295
1447,3,3,2,20,0,0,1,0,1,1.8,9,4,7.2,52344,5,3.86,9,1,10,16848959
4422,1,3,2,26,0,1,1,1,0,38.4,3,0,6.6,10901,5,0.85,3,1,3,15475844
2766,6,2,3,12,1,0,0,0,1,30.2,9,2,4.5,70000,8,2.01,2,1,9,14047186
5892,1,5,3,5,0,0,0,1,0,28.6,0,4,9.6,63897,5,3.73,3,1,8,21500303
7425,6,4,2,16,0,1,1,1,0,27.2,7,3,6.1,54251,1,3.74,9,0,1,33158205
3185,2,5,1,11,1,0,1,0,0,28.8,1,6,7.0,57118,7,2.82,7,0,2,15348466
2498,4,3,1,22,1,0,0,1,0,23.8,4,4,1.2,15559,1,1.4,1,1,6,10349201
1479,2,5,4,42,1,0,0,0,1,24.8,4,7,9.0,59377,10,3.78,6,1,1,10392146
1220,1,5,4,41,0,0,0,1,1,40.7,3,7,5.4,58137,1,1.31,2,0,8,5505228
1924,4,2,3,52,1,0,1,1,0,3.3,10,3,10.0,15931,9,2.27,10,0,8,16730352
3120,6,5,2,19,0,1,1,0,0,6.8,3,0,3.6,67907,3,1.32,4,0,8,18926112
4859,5,3,1,4,0,0,0,1,1,24.3,6,6,4.4,4789,7,1.29,7,0,8,26618673
7339,6,3,3,12,0,0,0,1,0,26.6,5,2,2.1,77693,7,2.71,1,0,10,28451047
6345,2,1,2,18,0,1,1,1,0,1.7,7,7,3.8,46693,9,0.62,3,1,6,28997672
1241,1,2,1,9,1,1,1,0,1,41.1,5,4,8.4,13916,1,1.37,5,1,6,6740090
3527,2,2,3,40,0,1,0,0,0,18.0,6,5,3.5,52235,7,4.17,2,0,9,14585847
7884,1,2,2,40,0,1,0,0,1,21.9,2,2,5.2,27131,10,2.46,1,1,5,28538016
4080,1,3,3,32,1,0,1,0,0,11.6,9,0,2.3,8007,2,2.8,3,1,7,18688412
1417,3,4,3,23,1,1,0,1,1,28.7,1,3,8.0,63954,1,1.57,9,1,7,11864020
2795,5,3,1,11,1,0,0,1,1,4.1,6,8,7.2,62832,9,3.51,5,1,5,18666885
6457,5,3,3,17,1,0,1,1,1,11.8,1,0,8.2,44822,9,0.97,10,1,8,34203866
3097,1,4,1,17,0,1,1,1,0,33.3,5,7,6.5,49666,4,1.95,10,1,4,18244702
7587,6,3,3,60,1,1,0,1,0,46.3,6,1,8.5,60640,7,1.32,4,1,5,28007682
6294,4,4,3,15,1,1,0,0,1,12.8,0,3,1.5,51327,3,4.38,9,1,10,34791687
3057,6,3,3,9,0,1,1,1,1,41.9,8,3,4.2,39629,5,0.7,3,0,6,15351468
4086,3,2,1,28,0,1,1,1,1,23.2,2,4,9.0,22423,1,2.9,9,1,7,22065169
2675,6,1,2,27,0,0,1,0,0,41.7,1,3,1.4,6945,7,3.63,7,1,5,13925353
1244,4,1,3,58,1,1,0,1,0,1.5,9,1,6.8,51978,6,3.54,9,0,5,12759541
4542,1,1,3,10,0,0,1,0,1,18.7,7,1,3.6,40913,7,2.82,4,1,6,21793147
6803,6,3,4,25,0,1,1,1,0,19.4,1,2,2.4,77281,6,2.28,3,0,3,29906316
5867,3,3,3,38,1,0,0,0,0,27.3,7,1,4.9,57333,8,3.12,6,1,6,25561617
6704,5,5,2,38,1,1,1,1,1,43.2,2,3,3.8,14186,8,2.06,1,1,8,25480520
4380,6,3,3,7,0,0,1,0,1,45.9,1,1,6.7,14447,1,3.7,2,1,1,15750163
3052,6,3,4,12,1,0,0,0,1,11.0,6,1,1.6,69322,3,0.72,10,0,4,23243599
5700,5,3,1,38,1,0,1,1,0,10.5,7,4,8.1,43766,10,1.41,3,1,1,25561265
3085,5,1,1,3,0,0,0,0,0,44.8,2,0,8.1,14000,6,2.49,4,0,9,10978904
3028,5,5,4,36,1,0,1,1,0,33.7,1,8,6.1,62293,1,0.54,2,1,7,13801324
6350,6,5,4,46,0,1,0,0,0,25.1,8,5,6.1,15091,10,3.74,1,1,6,25593043
3051,2,4,4,7,1,0,0,1,0,17.8,1,4,6.9,41440,4,1.59,9,0,2,17797307
744,5,2,1,11,1,1,1,0,0,2.6,5,1,5.5,11185,1,4.42,5,1,7,11034549
5661,5,5,3,7,0,0,1,0,1,39.6,8,6,9.1,14810,1,2.91,3,0,10,23066467
4245,5,5,3,23,0,1,0,0,1,7.2,10,3,2.2,43693,9,3.22,4,0,7,23397476
7893,2,4,3,15,0,0,0,0,0,32.6,10,7,5.8,5689,1,1.32,2,0,7,29065205
7117,4,4,1,0,0,0,0,1,0,2.4,10,1,6.4,34235,2,0.77,7,0,10,33375988
2998,6,5,3,53,0,1,0,0,0,24.7,5,4,6.2,26850,6,1.59,3,1,6,12863894
3308,4,4,2,18,0,1,0,0,1,26.1,2,5,9.3,70063,3,3.48,10,1,3,19307789
4242,2,2,4,15,0,1,1,0,0,10.1,5,7,2.8,41994,8,3.92,1,0,8,19532462
7875,6,4,1,30,0,0,0,0,1,28.9,10,5,6.4,7614,4,4.26,10,1,2,36904792
2061,2,5,2,60,0,0,1,1,0,9.6,7,3,6.5,55782,5,1.9,7,0,2,14088968
1864,6,4,4,54,1,0,0,0,0,23.2,2,3,9.9,13436,9,1.08,8,1,7,13902386
1697,2,4,2,9,1,1,0,0,0,32.0,4,2,6.1,30653,5,0.84,10,1,2,12304591
3559,3,2,2,43,1,1,1,0,1,35.5,2,5,7.1,30106,1,4.05,10,1,4,18574074
4866,3,2,1,37,1,0,1,0,1,1.6,7,0,5.9,62924,7,0.93,5,1,10,25289649
5422,3,3,4,0,1,1,0,0,0,37.0,8,2,1.7,60918,6,1.66,6,1,9,25593346
2816,6,4,3,39,0,0,1,1,1,42.5,9,8,1.5,56856,3,1.29,6,1,1,16030286
1399,4,3,1,27,1,1,1,0,1,15.0,4,1,6.9,57273,8,2.97,4,1,4,11483416
6745,2,2,4,47,1,1,1,0,0,11.1,2,4,8.9,69954,5,4.37,1,1,8,24682799
7850,5,5,3,28,0,0,1,0,0,15.1,10,5,6.1,69820,5,1.32,8,1,7,36328253
574,4,2,2,4,0,1,1,1,1,44.2,6,5,6.1,68719,3,0.97,8,0,6,9335019
5087,5,2,4,53,0,0,1,0,0,21.8,7,6,4.9,8218,8,4.26,6,0,1,23857790
2943,3,4,4,44,0,1,0,0,0,5.5,9,8,3.2,73259,5,2.62,5,0,6,17421673
2477,3,2,1,53,0,0,0,1,1,49.5,10,3,6.2,78896,6,3.59,7,1,9,11419119
5002,4,2,1,6,0,1,1,0,0,1.7,4,8,8.0,4788,1,3.41,3,0,4,21773969
2252,3,5,4,5,1,1,0,0,1,44.6,6,1,4.2,58351,6,4.44,10,1,9,16440147
1161,3,2,3,58,1,1,0,1,1,10.9,9,7,9.2,42019,10,3.72,10,1,5,14186160
1436,4,5,2,27,1,1,1,0,0,3.7,5,7,7.3,31009,10,2.38,9,0,10,17978637
505,3,4,4,7,1,1,1,1,0,46.4,0,5,7.1,18269,9,1.42,7,0,9,6371903
